district,year,month,season,crime_count
1,2015,1,1,52
2,2015,1,1,35
3,2015,1,1,50
4,2015,1,1,77
5,2015,1,1,46
6,2015,1,1,62
7,2015,1,1,53
8,2015,1,1,73
9,2015,1,1,54
10,2015,1,1,36
11,2015,1,1,73
12,2015,1,1,39
14,2015,1,1,25
15,2015,1,1,57
16,2015,1,1,39
17,2015,1,1,26
18,2015,1,1,39
19,2015,1,1,39
20,2015,1,1,11
22,2015,1,1,34
24,2015,1,1,16
25,2015,1,1,60
1,2015,2,1,37
2,2015,2,1,29
3,2015,2,1,41
4,2015,2,1,43
5,2015,2,1,37
6,2015,2,1,45
7,2015,2,1,41
8,2015,2,1,58
9,2015,2,1,49
10,2015,2,1,41
11,2015,2,1,61
12,2015,2,1,33
14,2015,2,1,25
15,2015,2,1,34
16,2015,2,1,39
17,2015,2,1,23
18,2015,2,1,26
19,2015,2,1,30
20,2015,2,1,15
22,2015,2,1,35
24,2015,2,1,26
25,2015,2,1,62
1,2015,3,2,47
2,2015,3,2,45
3,2015,3,2,62
4,2015,3,2,84
5,2015,3,2,66
6,2015,3,2,73
7,2015,3,2,54
8,2015,3,2,82
9,2015,3,2,54
10,2015,3,2,57
11,2015,3,2,90
12,2015,3,2,46
14,2015,3,2,36
15,2015,3,2,44
16,2015,3,2,45
17,2015,3,2,33
18,2015,3,2,55
19,2015,3,2,48
20,2015,3,2,17
22,2015,3,2,39
24,2015,3,2,29
25,2015,3,2,69
1,2015,4,2,57
2,2015,4,2,44
3,2015,4,2,57
4,2015,4,2,79
5,2015,4,2,40
6,2015,4,2,68
7,2015,4,2,73
8,2015,4,2,68
9,2015,4,2,43
10,2015,4,2,42
11,2015,4,2,92
12,2015,4,2,45
14,2015,4,2,52
15,2015,4,2,63
16,2015,4,2,35
17,2015,4,2,37
18,2015,4,2,55
19,2015,4,2,28
20,2015,4,2,20
22,2015,4,2,33
24,2015,4,2,23
25,2015,4,2,66
1,2015,5,2,35
2,2015,5,2,44
3,2015,5,2,62
4,2015,5,2,88
5,2015,5,2,48
6,2015,5,2,77
7,2015,5,2,94
8,2015,5,2,92
9,2015,5,2,42
10,2015,5,2,47
11,2015,5,2,84
12,2015,5,2,48
14,2015,5,2,43
15,2015,5,2,57
16,2015,5,2,38
17,2015,5,2,41
18,2015,5,2,51
19,2015,5,2,59
20,2015,5,2,17
22,2015,5,2,48
24,2015,5,2,34
25,2015,5,2,60
31,2015,5,2,1
1,2015,6,3,48
2,2015,6,3,38
3,2015,6,3,50
4,2015,6,3,70
5,2015,6,3,49
6,2015,6,3,66
7,2015,6,3,67
8,2015,6,3,88
9,2015,6,3,58
10,2015,6,3,39
11,2015,6,3,73
12,2015,6,3,68
14,2015,6,3,27
15,2015,6,3,58
16,2015,6,3,35
17,2015,6,3,32
18,2015,6,3,55
19,2015,6,3,59
20,2015,6,3,20
22,2015,6,3,42
24,2015,6,3,33
25,2015,6,3,60
1,2015,7,3,52
2,2015,7,3,63
3,2015,7,3,60
4,2015,7,3,81
5,2015,7,3,55
6,2015,7,3,75
7,2015,7,3,73
8,2015,7,3,66
9,2015,7,3,69
10,2015,7,3,55
11,2015,7,3,106
12,2015,7,3,54
14,2015,7,3,36
15,2015,7,3,55
16,2015,7,3,45
17,2015,7,3,35
18,2015,7,3,64
19,2015,7,3,58
20,2015,7,3,17
22,2015,7,3,34
24,2015,7,3,32
25,2015,7,3,53
1,2015,8,3,61
2,2015,8,3,47
3,2015,8,3,68
4,2015,8,3,70
5,2015,8,3,55
6,2015,8,3,94
7,2015,8,3,93
8,2015,8,3,66
9,2015,8,3,72
10,2015,8,3,47
11,2015,8,3,79
12,2015,8,3,69
14,2015,8,3,60
15,2015,8,3,55
16,2015,8,3,41
17,2015,8,3,31
18,2015,8,3,54
19,2015,8,3,58
20,2015,8,3,20
22,2015,8,3,43
24,2015,8,3,38
25,2015,8,3,74
1,2015,9,4,67
2,2015,9,4,52
3,2015,9,4,67
4,2015,9,4,58
5,2015,9,4,46
6,2015,9,4,78
7,2015,9,4,66
8,2015,9,4,61
9,2015,9,4,63
10,2015,9,4,51
11,2015,9,4,69
12,2015,9,4,59
14,2015,9,4,38
15,2015,9,4,49
16,2015,9,4,43
17,2015,9,4,29
18,2015,9,4,52
19,2015,9,4,64
20,2015,9,4,20
22,2015,9,4,35
24,2015,9,4,27
25,2015,9,4,66
1,2015,10,4,55
2,2015,10,4,53
3,2015,10,4,49
4,2015,10,4,77
5,2015,10,4,48
6,2015,10,4,76
7,2015,10,4,66
8,2015,10,4,73
9,2015,10,4,54
10,2015,10,4,41
11,2015,10,4,87
12,2015,10,4,55
14,2015,10,4,37
15,2015,10,4,50
16,2015,10,4,41
17,2015,10,4,43
18,2015,10,4,44
19,2015,10,4,54
20,2015,10,4,28
22,2015,10,4,37
24,2015,10,4,42
25,2015,10,4,72
1,2015,11,4,48
2,2015,11,4,43
3,2015,11,4,50
4,2015,11,4,68
5,2015,11,4,41
6,2015,11,4,66
7,2015,11,4,55
8,2015,11,4,70
9,2015,11,4,49
10,2015,11,4,47
11,2015,11,4,69
12,2015,11,4,51
14,2015,11,4,45
15,2015,11,4,60
16,2015,11,4,34
17,2015,11,4,37
18,2015,11,4,60
19,2015,11,4,47
20,2015,11,4,20
22,2015,11,4,41
24,2015,11,4,29
25,2015,11,4,60
1,2015,12,1,59
2,2015,12,1,39
3,2015,12,1,55
4,2015,12,1,67
5,2015,12,1,41
6,2015,12,1,62
7,2015,12,1,55
8,2015,12,1,54
9,2015,12,1,50
10,2015,12,1,48
11,2015,12,1,71
12,2015,12,1,62
14,2015,12,1,50
15,2015,12,1,30
16,2015,12,1,50
17,2015,12,1,34
18,2015,12,1,48
19,2015,12,1,48
20,2015,12,1,10
22,2015,12,1,27
24,2015,12,1,34
25,2015,12,1,50
1,2016,1,1,52
2,2016,1,1,39
3,2016,1,1,59
4,2016,1,1,60
5,2016,1,1,32
6,2016,1,1,62
7,2016,1,1,69
8,2016,1,1,59
9,2016,1,1,49
10,2016,1,1,35
11,2016,1,1,61
12,2016,1,1,52
14,2016,1,1,42
15,2016,1,1,43
16,2016,1,1,42
17,2016,1,1,24
18,2016,1,1,51
19,2016,1,1,49
20,2016,1,1,12
22,2016,1,1,23
24,2016,1,1,28
25,2016,1,1,65
1,2016,2,1,36
2,2016,2,1,37
3,2016,2,1,30
4,2016,2,1,57
5,2016,2,1,41
6,2016,2,1,39
7,2016,2,1,54
8,2016,2,1,46
9,2016,2,1,47
10,2016,2,1,45
11,2016,2,1,79
12,2016,2,1,59
14,2016,2,1,32
15,2016,2,1,47
16,2016,2,1,34
17,2016,2,1,30
18,2016,2,1,45
19,2016,2,1,38
20,2016,2,1,19
22,2016,2,1,36
24,2016,2,1,20
25,2016,2,1,58
1,2016,3,2,49
2,2016,3,2,49
3,2016,3,2,55
4,2016,3,2,56
5,2016,3,2,37
6,2016,3,2,69
7,2016,3,2,66
8,2016,3,2,57
9,2016,3,2,51
10,2016,3,2,40
11,2016,3,2,74
12,2016,3,2,48
14,2016,3,2,30
15,2016,3,2,51
16,2016,3,2,38
17,2016,3,2,36
18,2016,3,2,46
19,2016,3,2,51
20,2016,3,2,17
22,2016,3,2,34
24,2016,3,2,33
25,2016,3,2,63
1,2016,4,2,50
2,2016,4,2,38
3,2016,4,2,62
4,2016,4,2,60
5,2016,4,2,40
6,2016,4,2,74
7,2016,4,2,52
8,2016,4,2,56
9,2016,4,2,50
10,2016,4,2,49
11,2016,4,2,94
12,2016,4,2,48
14,2016,4,2,36
15,2016,4,2,44
16,2016,4,2,31
17,2016,4,2,23
18,2016,4,2,45
19,2016,4,2,44
20,2016,4,2,15
22,2016,4,2,27
24,2016,4,2,32
25,2016,4,2,52
1,2016,5,2,55
2,2016,5,2,53
3,2016,5,2,43
4,2016,5,2,56
5,2016,5,2,52
6,2016,5,2,72
7,2016,5,2,78
8,2016,5,2,84
9,2016,5,2,53
10,2016,5,2,61
11,2016,5,2,90
12,2016,5,2,59
14,2016,5,2,52
15,2016,5,2,48
16,2016,5,2,47
17,2016,5,2,26
18,2016,5,2,58
19,2016,5,2,57
20,2016,5,2,18
22,2016,5,2,42
24,2016,5,2,23
25,2016,5,2,67
1,2016,6,3,69
2,2016,6,3,59
3,2016,6,3,52
4,2016,6,3,54
5,2016,6,3,61
6,2016,6,3,65
7,2016,6,3,65
8,2016,6,3,98
9,2016,6,3,67
10,2016,6,3,59
11,2016,6,3,92
12,2016,6,3,56
14,2016,6,3,40
15,2016,6,3,60
16,2016,6,3,36
17,2016,6,3,33
18,2016,6,3,56
19,2016,6,3,57
20,2016,6,3,16
22,2016,6,3,37
24,2016,6,3,31
25,2016,6,3,62
1,2016,7,3,69
2,2016,7,3,40
3,2016,7,3,62
4,2016,7,3,54
5,2016,7,3,62
6,2016,7,3,75
7,2016,7,3,65
8,2016,7,3,87
9,2016,7,3,66
10,2016,7,3,60
11,2016,7,3,81
12,2016,7,3,64
14,2016,7,3,51
15,2016,7,3,55
